Date,Closing Price,Daily High,Daily Low
11/12/2018,1942.00,1961.75,1941.85
11/13/2018,1935.50,1947.97,1930.00
11/14/2018,1943.00,1945.75,1937.00
11/15/2018,1929.00,1949.75,1928.85
11/16/2018,1940.00,1946.50,1930.85
11/19/2018,1934.00,1951.75,1933.85
11/20/2018,1940.00,1944.15,1932.25
11/21/2018,1953.50,1957.25,1943.75
11/22/2018,1946.50,1961.65,1946.30
11/23/2018,1949.00,1951.00,1933.71
11/26/2018,1951.50,1951.70,1929.50
11/27/2018,1930.50,1943.25,1930.35
11/28/2018,1932.00,1934.00,1920.50
11/29/2018,1940.00,1942.00,1932.35
11/30/2018,1958.00,1958.15,1930.75
12/03/2018,1974.00,1980.57,1969.75
12/04/2018,1974.00,1983.54,1971.25
12/05/2018,1969.00,1972.15,1968.58
12/06/2018,1936.00,1961.25,1936.00
12/07/2018,1955.00,1965.66,1944.25
12/10/2018,1938.00,1955.40,1937.80
12/11/2018,1939.00,1959.35,1936.50
12/12/2018,1939.00,1940.25,1933.15
12/13/2018,1932.00,1939.00,1931.70
12/14/2018,1926.00,1926.15,1918.65
12/17/2018,1942.00,1942.20,1924.13
12/18/2018,1925.00,1946.87,1924.85
12/19/2018,1927.00,1931.25,1923.00
12/20/2018,1912.00,1933.22,1908.00
12/21/2018,1909.00,1915.00,1908.00
12/24/2018,1893.00,1998.50,1890.15
12/27/2018,1851.50,1900.10,1850.00
12/28/2018,1845.00,1871.75,1842.00
12/31/2018,1846.00,1849.00,1839.49
01/02/2019,1797.00,1851.20,1790.17
01/03/2019,1835.00,1845.25,1791.35
01/04/2019,1865.00,1875.00,1840.25
01/07/2019,1878.50,1878.65,1864.15
01/08/2019,1864.50,1865.00,1858.00
01/09/2019,1852.50,1879.97,1840.85
01/10/2019,1861.00,1862.00,1853.98
01/11/2019,1836.00,1863.45,1835.80
1/14/2019,1828.00,1838.25,1813.25
1/15/2019,1845.00,1851.25,1829.10
1/16/2019,1859.00,1871.93,1847.00
1/17/2019,1858.00,1858.20,1827.00
1/18/2019,1870.00,1873.00,1856.50
1/21/2019,1852.00,1877.25,1849.00
1/22/2019,1883.00,1883.15,1849.25
1/23/2019,1909.00,1913.35,1886.25
1/24/2019,1890.50,1900.55,1870.00
1/25/2019,1920.00,1920.15,1883.50
1/28/2019,1867.00,1905.00,1866.85
1/29/2019,1892.00,1896.00,1867.50
1/30/2019,1909.50,1911.00,1888.25
1/31/2019,1910.00,1921.44,1902.38
02/01/2019,1883.00,1905.50,1882.80
02/04/2019,1919.00,1919.20,1868.00
02/05/2019,1922.00,1930.25,1917.96
02/06/2019,1907.00,1915.49,1905.00
02/07/2019,1894.00,1910.75,1888.00
02/08/2019,1881.00,1897.00,1880.00
02/11/2019,1880.00,1885.75,1867.47
02/12/2019,1861.00,1882.75,1860.80
2/13/2019,1860.00,1870.47,1856.00
2/14/2019,1850.00,1864.75,1849.40
2/15/2019,1859.00,1873.10,1852.75
2/18/2019,1856.00,1865.75,1852.09
2/19/2019,1856.00,1862.18,1854.75
2/20/2019,1868.00,1868.15,1855.00
2/21/2019,1905.00,1909.00,1874.67
2/22/2019,1913.00,1921.00,1902.50
2/25/2019,1906.00,1920.15,1905.85
2/26/2019,1911.00,1911.20,1895.59
2/27/2019,1922.00,1925.00,1914.75
2/28/2019,1911.00,1919.50,1910.35
03/01/2019,1918.00,1918.25,1900.00
03/04/2019,1875.00,1916.25,1870.00
03/05/2019,1874.00,1891.00,1873.80
03/06/2019,1866.00,1876.75,1861.50
03/07/2019,1864.00,1865.75,1861.50
03/08/2019,1872.00,1882.24,1864.25
03/11/2019,1847.00,1870.75,1846.80
03/12/2019,1873.00,1878.11,1857.50
3/13/2019,1905.00,1908.25,1876.75
3/14/2019,1903.00,1906.80,1897.35
3/15/2019,1897.00,1910.75,1890.00
3/18/2019,1920.50,1921.00,1894.23
3/19/2019,1946.00,1946.20,1931.00
3/20/2019,1937.00,1951.50,1936.85
3/21/2019,1899.50,1939.30,1899.00
3/22/2019,1903.00,1907.75,1889.50
3/25/2019,1883.00,1898.25,1882.80
3/26/2019,1888.00,1891.75,1875.50
3/27/2019,1911.00,1914.50,1894.25
3/28/2019,1903.00,1913.43,1901.25
3/29/2019,1912.00,1921.47,1905.00
04/01/2019,1899.00,1926.50,1898.80
04/02/2019,1889.00,1899.75,1883.00
04/03/2019,1896.00,1900.80,1888.15
04/04/2019,1895.00,1907.00,1892.00
04/05/2019,1890.00,1907.25,1883.53
04/08/2019,1871.00,1889.75,1870.80
04/09/2019,1878.00,1878.50,1874.42
04/10/2019,1864.00,1876.25,1863.00
04/11/2019,1860.00,1867.00,1856.45
04/12/2019,1863.00,1865.00,1859.41
4/15/2019,1865.00,1866.00,1852.65
4/16/2019,1855.50,1863.35,1855.25
4/17/2019,1850.00,1866.13,1849.85
4/18/2019,1867.00,1867.15,1845.10
4/23/2019,1866.00,1879.95,1865.85
