"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2019","1,784.75","1,792.50","1,820.25","1,790.75","-","-1.95%"
"Nov 08, 2019","1,820.25","1,821.50","1,827.84","1,820.50","-","0.55%"
"Nov 07, 2019","1,810.25","1,803.50","1,818.75","1,796.75","-","-0.63%"
"Nov 06, 2019","1,821.75","1,817.00","1,823.00","1,815.25","-","-0.07%"
"Nov 05, 2019","1,823.00","1,821.00","1,828.27","1,820.70","-","-0.26%"
"Nov 04, 2019","1,827.75","1,824.75","1,826.75","1,798.00","-","2.14%"
"Nov 01, 2019","1,789.50","1,759.75","1,789.75","1,752.75","-","1.59%"
"Oct 31, 2019","1,761.50","1,761.75","1,766.00","1,751.00","-","-0.25%"
"Oct 30, 2019","1,766.00","1,760.85","1,768.00","1,758.60","-","0.24%"
"Oct 29, 2019","1,761.75","1,757.25","1,757.88","1,740.75","-","1.21%"
"Oct 28, 2019","1,740.75","1,743.00","1,743.63","1,733.50","-","0.42%"
"Oct 25, 2019","1,733.50","1,736.75","1,737.25","1,725.65","-","0.35%"
"Oct 24, 2019","1,727.50","1,733.50","1,733.50","1,724.75","-","-0.35%"
"Oct 23, 2019","1,733.50","1,731.00","1,734.50","1,723.25","-","0.59%"
"Oct 22, 2019","1,723.25","1,723.75","1,734.00","1,723.75","-","-0.62%"
"Oct 21, 2019","1,734.00","1,733.75","1,746.50","1,733.50","-","-0.72%"
"Oct 18, 2019","1,746.50","1,745.50","1,747.50","1,736.25","-","0.59%"
"Oct 17, 2019","1,736.25","1,734.25","1,735.50","1,734.25","-","0.04%"
"Oct 16, 2019","1,735.50","1,728.75","1,730.75","1,723.93","-","0.29%"
"Oct 15, 2019","1,730.50","1,729.25","1,732.13","1,720.58","-","0.51%"
"Oct 14, 2019","1,721.75","1,723.50","1,727.25","1,723.08","-","0.45%"
"Oct 11, 2019","1,714.00","1,714.50","1,745.75","1,714.00","-","-1.82%"
"Oct 10, 2019","1,745.75","1,746.75","1,747.05","1,737.50","-","0.47%"
"Oct 09, 2019","1,737.50","1,718.75","1,744.75","1,718.75","-","-0.42%"
"Oct 08, 2019","1,744.75","1,746.75","1,746.75","1,736.70","-","0.20%"
"Oct 07, 2019","1,741.25","1,739.00","1,739.75","1,708.25","-","1.93%"
"Oct 04, 2019","1,708.25","1,705.75","1,707.38","1,705.25","-","0.18%"
"Oct 03, 2019","1,705.25","1,702.50","1,702.75","1,689.75","-","0.92%"
"Oct 02, 2019","1,689.75","1,697.75","1,726.25","1,691.75","-","-2.11%"
"Oct 01, 2019","1,726.25","1,725.75","1,725.75","1,707.50","-","0.47%"
"Sep 30, 2019","1,718.25","1,739.50","1,747.75","1,718.25","-","-1.28%"
"Sep 27, 2019","1,740.50","1,739.25","1,743.75","1,721.75","-","0.12%"
"Sep 26, 2019","1,738.50","1,753.00","1,756.25","1,737.00","-","-0.81%"
"Sep 25, 2019","1,752.75","1,762.00","1,766.25","1,750.25","-","-0.58%"
"Sep 24, 2019","1,763.00","1,785.75","1,786.75","1,759.75","-","-1.22%"
"Sep 23, 2019","1,784.75","1,789.00","1,790.75","1,776.75","-","-0.14%"
"Sep 20, 2019","1,787.25","1,797.25","1,800.75","1,786.25","-","-0.40%"
"Sep 19, 2019","1,794.50","1,790.75","1,802.75","1,784.50","-","0.13%"
"Sep 18, 2019","1,792.25","1,792.00","1,797.50","1,780.75","-","-0.06%"
"Sep 17, 2019","1,793.25","1,788.50","1,793.75","1,778.25","-","0.31%"
"Sep 16, 2019","1,787.75","1,809.50","1,817.75","1,787.50","-","-1.27%"
"Sep 13, 2019","1,810.75","1,794.50","1,814.50","1,792.25","-","0.91%"
"Sep 12, 2019","1,794.50","1,820.50","1,825.75","1,792.25","-","-1.21%"
"Sep 11, 2019","1,816.50","1,819.50","1,829.75","1,815.75","-","-0.29%"
"Sep 10, 2019","1,821.75","1,798.25","1,824.75","1,795.75","-","1.24%"
"Sep 09, 2019","1,799.50","1,784.50","1,803.50","1,777.25","-","0.90%"
"Sep 06, 2019","1,783.50","1,787.25","1,794.00","1,774.75","-","-0.46%"
"Sep 05, 2019","1,791.75","1,773.50","1,792.25","1,765.50","-","1.17%"
"Sep 04, 2019","1,771.00","1,752.25","1,778.25","1,751.75","-","0.95%"
"Sep 03, 2019","1,754.25","1,748.00","1,754.75","1,736.75","-","0.26%"
"Sep 02, 2019","1,749.75","1,755.75","1,756.50","1,742.25","-","-0.36%"
"Aug 30, 2019","1,756.00","1,755.00","1,756.75","1,737.25","-","0.10%"
"Aug 29, 2019","1,754.25","1,749.50","1,756.00","1,734.25","-","1.70%"
"Aug 28, 2019","1,725.00","1,730.25","1,742.75","1,728.00","-","-2.00%"
"Aug 27, 2019","1,760.25","1,769.00","1,776.25","1,758.25","-","0.34%"
"Aug 23, 2019","1,754.25","1,752.75","1,753.75","1,750.00","-","0.24%"
"Aug 22, 2019","1,750.00","1,751.75","1,763.25","1,747.00","-","-0.75%"
"Aug 21, 2019","1,763.25","1,764.75","1,776.75","1,758.00","0.05K","-0.11%"
"Aug 20, 2019","1,765.25","1,764.75","1,776.75","1,764.50","-","-0.65%"
"Aug 19, 2019","1,776.75","1,760.00","1,789.50","1,760.00","0.25K","0.95%"
"Aug 16, 2019","1,760.00","1,761.50","1,761.88","1,751.75","-","0.47%"
"Aug 15, 2019","1,751.75","1,756.25","1,756.25","1,746.75","-","0.29%"
"Aug 14, 2019","1,746.75","1,758.00","1,758.00","1,748.00","-","-0.63%"
"Aug 13, 2019","1,757.75","1,745.75","1,764.88","1,734.25","0.21K","0.85%"
"Aug 12, 2019","1,743.00","1,745.75","1,749.16","1,745.75","-","-0.26%"
"Aug 09, 2019","1,747.50","1,751.25","1,754.75","1,747.25","-","-0.41%"
"Aug 08, 2019","1,754.75","1,756.00","1,756.25","1,722.75","-","1.86%"
"Aug 07, 2019","1,722.75","1,739.50","1,739.50","1,734.78","-","-0.89%"
"Aug 06, 2019","1,738.25","1,743.00","1,746.82","1,739.50","-","-0.29%"
"Aug 05, 2019","1,743.25","1,746.25","1,750.50","1,743.13","-","-0.41%"
"Aug 02, 2019","1,750.50","1,756.00","1,762.50","1,752.75","-","-0.68%"
"Aug 01, 2019","1,762.50","1,759.50","1,782.25","1,759.50","-","-1.11%"
"Jul 31, 2019","1,782.25","1,788.00","1,799.00","1,780.25","0.06K","-0.25%"
"Jul 30, 2019","1,786.75","1,788.00","1,788.58","1,788.00","-","-0.54%"
"Jul 29, 2019","1,796.50","1,790.00","1,801.00","1,780.25","0.02K","0.55%"
"Jul 26, 2019","1,786.75","1,784.25","1,808.25","1,783.89","-","-1.19%"
"Jul 25, 2019","1,808.25","1,808.50","1,808.50","1,808.00","-","-0.01%"
"Jul 24, 2019","1,808.50","1,808.25","1,809.00","1,798.75","-","0.54%"
"Jul 23, 2019","1,798.75","1,805.00","1,805.00","1,799.75","-","-0.06%"
"Jul 22, 2019","1,799.75","1,797.00","1,831.00","1,797.00","-","-1.88%"
"Jul 19, 2019","1,834.25","1,842.50","1,855.25","1,834.50","0.14K","-0.52%"
"Jul 18, 2019","1,843.75","1,842.50","1,846.00","1,839.00","-","0.26%"
"Jul 17, 2019","1,839.00","1,839.75","1,842.50","1,833.26","-","-0.14%"
"Jul 16, 2019","1,841.50","1,835.25","1,842.00","1,834.25","-","0.40%"
"Jul 15, 2019","1,834.25","1,834.00","1,834.00","1,813.25","-","1.75%"
"Jul 12, 2019","1,802.75","1,809.00","1,809.00","1,802.50","-","-0.32%"
"Jul 11, 2019","1,808.50","1,807.00","1,835.50","1,807.00","-","-1.47%"
"Jul 10, 2019","1,835.50","1,839.00","1,839.25","1,809.50","-","1.44%"
"Jul 09, 2019","1,809.50","1,803.00","1,804.75","1,792.50","-","0.95%"
"Jul 08, 2019","1,792.50","1,789.50","1,793.38","1,787.00","-","0.31%"
"Jul 05, 2019","1,787.00","1,784.25","1,787.75","1,784.00","-","-0.04%"
"Jul 04, 2019","1,787.75","1,789.75","1,789.75","1,780.85","-","0.99%"
"Jul 03, 2019","1,770.25","1,770.00","1,770.00","1,761.75","-","0.48%"
"Jul 02, 2019","1,761.75","1,760.50","1,775.00","1,760.50","-","-0.75%"
"Jul 01, 2019","1,775.00","1,774.50","1,782.25","1,774.50","-","-0.41%"
"Jun 28, 2019","1,782.25","1,775.88","1,782.88","1,772.38","-","0.55%"
"Jun 27, 2019","1,772.50","1,779.63","1,802.38","1,772.88","-","-1.65%"
"Jun 26, 2019","1,802.25","1,796.00","1,814.25","1,776.00","0.43K","0.28%"
"Jun 25, 2019","1,797.25","1,796.00","1,796.00","1,776.00","-","1.20%"
"Jun 24, 2019","1,776.00","1,750.75","1,784.75","1,749.50","0.01K","1.47%"
"Jun 21, 2019","1,750.25","1,751.50","1,751.50","1,749.75","-","-0.81%"
"Jun 20, 2019","1,764.50","1,764.75","1,767.00","1,763.75","-","-0.14%"
"Jun 19, 2019","1,767.00","1,759.50","1,769.18","1,759.50","-","0.30%"
"Jun 18, 2019","1,761.75","1,760.25","1,762.50","1,739.75","-","1.35%"
"Jun 17, 2019","1,738.25","1,739.00","1,745.50","1,733.00","-","0.27%"
"Jun 14, 2019","1,733.50","1,728.75","1,757.00","1,728.75","-","-1.34%"
"Jun 13, 2019","1,757.00","1,758.75","1,762.25","1,751.00","-","-0.30%"
"Jun 12, 2019","1,762.25","1,751.75","1,766.00","1,742.75","0.01K","0.59%"
"Jun 11, 2019","1,752.00","1,751.75","1,756.10","1,749.25","-","0.17%"
"Jun 10, 2019","1,749.00","1,751.00","1,751.00","1,737.50","-","0.66%"
"Jun 07, 2019","1,737.50","1,734.75","1,750.75","1,734.75","-","-0.76%"
"Jun 06, 2019","1,750.75","1,749.50","1,751.25","1,745.75","-","0.11%"
"Jun 05, 2019","1,748.75","1,746.75","1,766.25","1,746.75","-","-0.99%"
"Jun 04, 2019","1,766.25","1,766.75","1,766.75","1,757.75","-","0.48%"
"Jun 03, 2019","1,757.75","1,754.50","1,775.00","1,754.50","-","-1.11%"
"May 31, 2019","1,777.50","1,776.00","1,783.40","1,763.50","-","-0.22%"
"May 30, 2019","1,781.50","1,796.50","1,797.75","1,779.00","-","0.41%"
"May 29, 2019","1,774.25","1,776.00","1,786.50","1,773.93","-","-0.69%"
"May 28, 2019","1,786.50","1,783.75","1,787.00","1,780.00","-","0.37%"
